"","Site","Date.set","Date.retrieved","Box","SetDepthL","SetVelocityL_60","SetVelocityL_100","SetDepthMid","SetVelocityM_60","SetVelocityM_100","Set.DepthR","SetVelocityR_60","SetVelocityR_100","Cover.Distance","Shore.Distance","RetDepthFL","RetDepthFR","RetDepthBL","RetDepthBR","Washer","Washer_60","Washer_100","VelocityRet_outsideFL_60","VelocityRet_outsideFL_100","VelocityRet_outsideFR_60","VelocityRet_outsideFR_100","VelocityRet_outsideBL_60","VelocityRet_outsideBL_100","VelocityRet_outsideBR_60","VelocityRet_outsideBR_100","VelocityRet_insideFL_60","VelocityRet_insideFL_100","VelocityRet_insideFR_60","VelocityRet_insideFR_100","VelocityRet_insideBL_60","VelocityRet_insideBL_100","VelocityRet_insideBR_60","VelocityRet_insideBR_100","Fish_Seen","Box_ID","Mean_velocity","nrei","colonized"
"1","SM2","2018-09-20","2018-09-24",7,0.33,0.48,0.43,0.34,0.31,0.35,0.3,0.58,0.49,0.63,0.63,0.4,0.37,0.36,0.3,0,"N/A","N/A",0.52,0.53,0.45,0.43,0.48,0.51,0.48,0.33,0.54,0.35,0.48,0.36,0.47,0.41,0.37,8,0,"SM2-7",0.919375,-0.0252431602755822,0
"2","SM2","2018-09-20","2018-09-24",3,0.18,0.05,0.05,0.17,0.05,0.05,0.16,0.04,0.04,1.6,1.5,0.28,0.24,0.25,0.23,0,"0","0",0.08,0.07,0,0,0,0,0,0,0.07,0.06,0.06,0.06,0,0,0,0,2,"SM2-3",0.025,0.0240344993011285,1
"3","SM2","2018-09-20","2018-09-24",1,0.16,0.04,0.04,0.17,0.05,0.05,0.18,0.05,0.28,0.97,1,0.28,0.31,0.22,0.23,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"SM2-1",0,-0.00050789977056891,0
"4","SM2","2018-09-20","2018-09-24",6,0.31,0.47,0.47,0.42,0.37,0.41,0.4,0.46,0.45,0.08,0.72,0.49,0.55,0.51,0.55,1,"0.3","0.28",0.24,0.3,0.67,0.34,0.34,0.18,0.38,0.19,0.58,0.41,0.39,0.3,0.35,0.28,0.3,0.06,1,"SM2-6",0.331875,0.0962675917078216,1
"5","SM2","2018-09-20","2018-09-24",2,0.31,0.31,0.21,0.26,0.33,0.32,0.27,0.25,0.26,1.3,0.07,0.34,0.32,0.22,0.38,1,"0.18","0.32",0.32,0.09,0.27,0.13,0.13,0.12,0.17,0.13,0.16,0.23,0.26,0.19,0.23,0.1,0.3,0.21,1,"SM2-2",0.19,0.140128072975764,1
"6","SM2","2018-09-20","2018-09-24",4,0.34,0.57,0.56,0.39,0.57,0.57,0.34,0.56,0.55,1.3,0.09,0.38,0.4,0.39,0.37,0,"","",0.5,0.44,0.55,0.12,0.12,0.33,0.34,0.33,0.63,0.46,0.61,0.37,0.37,0.23,0.36,0.21,0,"SM2-4",0.373125,0.0472052441293916,0
"7","SK2","2018-09-24","2018-09-27",2,0.23,0.16,0.13,0.25,0.11,0.11,0.27,0.12,0.11,1.9,1.9,0.29,0.3,0.29,0.21,NA,"0.03","0",0.04,0.04,0.05,0.03,0.07,0.05,0.09,0.05,0.02,0.04,0.03,0,0.02,0,0.1,0.03,1,"SK2-2",0.04125,0.0460499598311483,1
"8","SK2","2018-09-24","2018-09-27",6,0.41,0.37,0.3,36,0.36,0.34,0.37,0.39,0.33,1.4,0.2,0.4,0.39,0.37,0.34,1,"0.21","0.17",0.21,0.12,0.18,0.14,0.26,0.13,0.21,0.17,0.22,0.07,0.16,0.02,0.19,0.09,0.23,0.16,1,"SK2-6",0.16,0.127663342506803,1
"9","SK2","2018-09-24","2018-09-27",1,0.19,0.26,1.27,1.33,1.27,1,0.16,1.31,1.1,1,1,0.2,0.23,0.21,0.2,0.97,"0","0",0.97,0.94,0.78,0.54,0.96,0.77,1.21,0.45,0.98,0.65,NA,0.48,1.02,0.44,0.81,0.65,0,"SK2-1",0.776666666666667,-0.0135155588100997,0
"10","SK2","2018-09-24","2018-09-27",4,0.23,1,1.08,0.28,0.92,0.92,0.3,1.14,0.95,0.55,0.45,0.26,0.26,0.23,0.2,NA,"","",0.67,0.52,0.72,0.6,0.76,0.67,0.74,0.4,0.41,0.2,0.72,0.51,0.42,0.41,0.45,0,0,"SK2-4",0.5125,0.00716221956071056,0
