"","Depth","Velocity","Substrate","Cover_yn","Available","rainbow_day","rainbow_dusk","rainbow_night","char_day","char_dusk","char_night"
"1",0,0,"1","Cover",4,0,0,0,0,0,0
"2",0.1,0,"1","Cover",10,0,0,0,0,0,0
"3",0.2,0,"1","Cover",26,0,0,0,0,6,0
"4",0.3,0,"1","Cover",12,0,0,0,0,0,0
"5",0.4,0,"1","Cover",14,3,0,1,0,0,1
"6",0.5,0,"1","Cover",2,0,0,0,0,0,0
"7",0.7,0,"1","Cover",7,0,0,0,0,0,0
"8",0.6,0.1,"1","Cover",2,0,2,0,0,0,0
"9",0.1,0.2,"1","Cover",2,0,0,0,0,0,0
"10",0.2,0.2,"1","Cover",2,0,0,0,0,0,0
"11",0.3,0.2,"1","Cover",2,0,0,0,0,0,0
"12",0.6,0.2,"1","Cover",3,2,0,0,0,1,0
"13",0.9,0.2,"1","Cover",2,0,0,0,0,2,0
"14",0.5,0.3,"1","Cover",2,2,0,0,0,0,0
"15",0,0,"2","Cover",4,2,0,0,0,0,0
"16",0.1,0,"2","Cover",11,0,0,0,0,0,0
"17",0.2,0,"2","Cover",19,15,0,1,2,0,3
"18",0.3,0,"2","Cover",2,0,0,0,0,0,0
"19",0.4,0,"2","Cover",15,1,0,5,0,1,2
"20",0.5,0,"2","Cover",2,0,0,0,0,0,0
"21",0.6,0,"2","Cover",2,1,0,2,0,0,0
"22",0.7,0,"2","Cover",2,0,0,0,0,0,1
"23",0.8,0,"2","Cover",5,2,0,1,2,1,0
"24",0.9,0,"2","Cover",1,0,0,1,0,0,1
"25",1,0,"2","Cover",2,0,0,0,0,1,2
"26",1.1,0,"2","Cover",1,0,0,0,0,0,1
"27",1.2,0,"2","Cover",7,0,0,0,0,1,0
"28",1.3,0,"2","Cover",21,0,0,0,0,0,0
"29",1.4,0,"2","Cover",14,0,0,0,0,0,0
"30",1.5,0,"2","Cover",14,0,0,0,0,0,0
"31",1.6,0,"2","Cover",7,0,0,0,0,0,0
"32",2,0,"2","Cover",21,0,0,0,0,0,0
"33",0.2,0.1,"2","Cover",6,0,0,0,3,0,0
"34",0.4,0.1,"2","Cover",16,1,0,0,0,0,1
"35",0.5,0.1,"2","Cover",2,0,0,0,0,0,0
"36",0.6,0.1,"2","Cover",2,1,0,0,0,2,2
"37",0.7,0.1,"2","Cover",2,0,0,0,0,0,0
"38",1,0.1,"2","Cover",2,0,2,0,0,0,0
"39",2,0.1,"2","Cover",6,6,0,0,2,0,0
"40",0,0.2,"2","Cover",2,0,0,0,0,0,0
"41",0.1,0.2,"2","Cover",6,0,0,0,0,0,0
"42",0.2,0.2,"2","Cover",11,0,0,6,5,0,5
"43",0.3,0.2,"2","Cover",4,3,0,1,0,0,2
"44",0.4,0.2,"2","Cover",16,0,0,0,0,0,1
"45",0.6,0.2,"2","Cover",14,0,0,0,0,0,1
"46",0.7,0.2,"2","Cover",3,0,0,0,0,0,1
"47",0.8,0.2,"2","Cover",20,0,0,0,0,2,0
"48",1,0.2,"2","Cover",1,0,0,0,0,1,0
"49",1.2,0.2,"2","Cover",5,2,0,0,5,1,0
"50",1.5,0.2,"2","Cover",2,0,0,0,2,0,0
"51",1.6,0.2,"2","Cover",7,0,0,0,0,0,0
"52",2,0.2,"2","Cover",14,0,0,0,0,0,0
"53",0.1,0.3,"2","Cover",4,0,0,0,0,0,0
"54",0.2,0.3,"2","Cover",2,0,0,0,0,0,0
"55",0.4,0.3,"2","Cover",1,1,0,0,0,0,1
"56",0.8,0.3,"2","Cover",7,0,0,0,0,0,0
"57",0.1,0.4,"2","Cover",2,0,0,0,0,0,0
"58",0.2,0.4,"2","Cover",9,0,1,0,0,0,0
"59",0.3,0.4,"2","Cover",2,0,0,0,0,0,0
"60",0.4,0.4,"2","Cover",8,1,0,0,0,0,0
"61",0.5,0.4,"2","Cover",2,0,0,0,0,0,0
"62",0.6,0.4,"2","Cover",7,0,0,0,0,0,0
"63",0.7,0.4,"2","Cover",7,0,0,0,0,0,0
"64",0.1,0.5,"2","Cover",2,0,0,0,0,0,0
"65",0.2,0.5,"2","Cover",2,0,0,0,1,0,0
"66",0.1,0.6,"2","Cover",2,0,0,0,0,0,0
"67",0.3,0.6,"2","Cover",6,0,0,0,0,0,0
"68",0.4,0.6,"2","Cover",1,0,0,0,1,0,0
"69",0,0,"3","Cover",1,0,0,0,0,0,0
"70",0.1,0,"3","Cover",10,10,0,0,0,0,0
"71",0.2,0,"3","Cover",5,2,3,0,1,0,0
"72",0.4,0,"3","Cover",15,0,0,0,0,0,0
"73",0.8,0,"3","Cover",2,0,0,0,0,0,0
"74",1.8,0,"3","Cover",7,0,0,0,0,0,0
"75",0.1,0.1,"3","Cover",4,0,0,0,0,0,0
"76",0.2,0.1,"3","Cover",1,0,0,0,0,1,0
"77",0.3,0.1,"3","Cover",4,0,0,0,0,0,0
"78",0.4,0.1,"3","Cover",7,0,0,0,0,0,0
"79",0.7,0.1,"3","Cover",7,0,0,0,0,0,0
"80",0.8,0.1,"3","Cover",14,0,0,0,0,0,0
"81",1.3,0.1,"3","Cover",2,0,0,0,0,2,0
"82",0.1,0.2,"3","Cover",4,0,0,0,0,0,0
"83",0.2,0.2,"3","Cover",10,0,2,0,1,0,0
"84",0.3,0.2,"3","Cover",4,1,0,0,0,0,0
"85",0.4,0.2,"3","Cover",15,0,0,1,0,0,4
"86",0.5,0.2,"3","Cover",11,0,0,0,0,0,0
"87",0.6,0.2,"3","Cover",5,0,0,0,0,1,0
"88",0.8,0.2,"3","Cover",10,0,0,0,0,1,0
"89",0.9,0.2,"3","Cover",2,0,0,0,0,0,0
"90",0.2,0.3,"3","Cover",1,1,0,0,0,0,0
"91",0.4,0.3,"3","Cover",2,1,0,0,0,1,0
