"","Reach","Habitat","Date","Time","Species","Length","Fish.ID","Focal_D","Cover","Cover_2","Substrate","Activity","ADV_file","Depth","V_60","Focal_V","Cover_yn","Key","Species_Activity","V_std"
"1","SK1",1,"2018-09-18","Night","Bull trout",70,NA,100,"none","","4","Resting","",0.37,0.01,0.01,"No Cover","SK1.Night.NA","Bull trout-Resting",0.142857142857143
"2","SK1",1,"2018-09-18","Night","Rainbow",90,NA,100,"none","","4","Resting","",0.4,0.02,0.01,"No Cover","SK1.Night.NA","Rainbow-Resting",0.111111111111111
"3","SK1",1,"2018-09-18","Night","Rainbow",100,NA,100,"none","","4","Resting","",0.45,0.05,0.01,"No Cover","SK1.Night.NA","Rainbow-Resting",0.1
"4","SK1",1,"2018-09-18","Night","Rainbow",120,NA,100,"none","","4","Resting","",0.65,0.22,0.01,"No Cover","SK1.Night.NA","Rainbow-Resting",0.0833333333333333
"5","SK1",1,"2018-09-18","Night","Rainbow",110,NA,100,"none","","4","Resting","",0.33,0.05,0.01,"No Cover","SK1.Night.NA","Rainbow-Resting",0.0909090909090909
"6","SK1",1,"2018-09-18","Night","Bull trout",100,NA,100,"wood","","2","Resting","",0.33,0,0,"Cover","SK1.Night.NA","Bull trout-Resting",0
"7","SK1",1,"2018-09-18","Night","Rainbow",95,NA,100,"wood","","4","Resting","",0.45,0.03,0.01,"Cover","SK1.Night.NA","Rainbow-Resting",0.105263157894737
"7.1","SK1",1,"2018-09-18","Night","Rainbow",95,NA,100,"wood","","4","Resting","",0.45,0.03,0.01,"Cover","SK1.Night.NA","Rainbow-Resting",0.105263157894737
"8","SK1",1,"2018-09-18","Night","Rainbow",80,NA,100,"wood","","4","Resting","",0.36,0.13,0.01,"Cover","SK1.Night.NA","Rainbow-Resting",0.125
"9","SK1",1,"2018-09-18","Night","Rainbow",65,NA,100,"wood","","3","Resting","",0.41,0.15,0.15,"Cover","SK1.Night.NA","Rainbow-Resting",2.30769230769231
"10","SK1",1,"2018-09-18","Night","Rainbow",115,NA,100,"wood","","4","Resting","",0.16,0.21,0.01,"Cover","SK1.Night.NA","Rainbow-Resting",0.0869565217391304
"11","SK1",1,"2018-09-18","Night","Bull trout",110,NA,100,"wood","","4","Resting","",0.56,0.37,0.01,"Cover","SK1.Night.NA","Bull trout-Resting",0.0909090909090909
"12","SK1",1,"2018-09-18","Night","Rainbow",80,NA,100,"none","","4","Resting","",0.3,0.26,0.01,"No Cover","SK1.Night.NA","Rainbow-Resting",0.125
"13","SK1",1,"2018-09-18","Night","Rainbow",40,NA,100,"none","","3","Resting","",0.08,0,0,"No Cover","SK1.Night.NA","Rainbow-Resting",0
"14","SK1",1,"2018-09-18","Night","Rainbow",210,NA,100,"overhang","","4","Resting","",0.3,0.14,0.01,"Cover","SK1.Night.NA","Rainbow-Resting",0.0476190476190476
"15","SK1",1,"2018-09-18","Night","Bull trout",60,NA,110,"substrate","","4","Resting","",0.42,1.06,0,"Cover","SK1.Night.NA","Bull trout-Resting",0
"16","SK1",1,"2018-09-18","Night","Rainbow",75,NA,100,"none","","4","Resting","",0.25,0.15,0.01,"No Cover","SK1.Night.NA","Rainbow-Resting",0.133333333333333
"17","SK1",1,"2018-09-05","Day","Bull trout",95,1.1,110,"substrate","","4","Resting","",0.57,0,0,"Cover","SK1.Day.1.1","Bull trout-Resting",0
"18","SK1",1,"2018-09-05","Day","Bull trout",110,3.1,110,"substrate","","4","Resting","",0.57,0,0,"Cover","SK1.Day.3.1","Bull trout-Resting",0
"19","SK1",1,"2018-09-05","Day","Bull trout",55,2.1,110,"substrate","","4","Resting","",0.69,0,0,"Cover","SK1.Day.2.1","Bull trout-Resting",0
"20","SK1",1,"2018-09-05","Day","Bull trout",70,4.1,110,"substrate","","4","Resting","",0.26,0.327,0,"Cover","SK1.Day.4.1","Bull trout-Resting",0
"21","SK1",1,"2018-09-05","Day","Rainbow",45,6.1,60,"wood","","2","Foraging","",0.42,0.397,0.187,"Cover","SK1.Day.6.1","Rainbow-Foraging",4.15555555555556
"22","SK1",1,"2018-09-05","Day","Rainbow",40,5.1,60,"wood","","2","Foraging","",0.39,0.022,0.022,"Cover","SK1.Day.5.1","Rainbow-Foraging",0.55
"23","SK1",1,"2018-09-05","Day","Bull trout",90,14.1,110,"substrate","","4","Resting","",0.51,0.237,0,"Cover","SK1.Day.14.1","Bull trout-Resting",0
"24","SK1",2,"2018-09-05","Day","Rainbow",55,15.1,90,"wood","","4","Foraging","",0.17,0.467,0.495,"Cover","SK1.Day.15.1","Rainbow-Foraging",9
"25","SK1",3,"2018-09-05","Day","Rainbow",45,13.1,60,"none","","4","Foraging","",0.13,0.066,0.066,"No Cover","SK1.Day.13.1","Rainbow-Foraging",1.46666666666667
"26","SK1",3,"2018-09-05","Day","Bull trout",75,8.1,100,"wood","","4","Resting","",0.56,0.238,0.01,"Cover","SK1.Day.8.1","Bull trout-Resting",0.133333333333333
"27","SK1",3,"2018-09-05","Day","Rainbow",60,9.1,100,"wood","","4","Resting","",0.44,0.2,0.01,"Cover","SK1.Day.9.1","Rainbow-Resting",0.166666666666667
"28","SK1",3,"2018-09-05","Day","Bull trout",65,10.1,100,"wood","","4","Resting","",0.3,0.346,0.01,"Cover","SK1.Day.10.1","Bull trout-Resting",0.153846153846154
